iter	Passed	Remaining
0	1	1834
1	3	1975
2	6	2033
3	8	2073
4	10	2095
5	14	2446
6	16	2403
7	19	2365
8	21	2341
9	23	2309
10	25	2299
11	29	2446
12	31	2423
13	39	2799
14	48	3176
15	53	3289
16	61	3557
17	66	3628
18	71	3702
19	79	3903
20	84	3953
21	92	4132
22	98	4168
23	103	4198
24	108	4239
25	135	5068
26	140	5064
27	149	5193
28	155	5199
29	160	5182
30	165	5159
31	169	5141
32	178	5230
33	183	5220
34	191	5290
35	196	5273
36	202	5260
37	228	5774
38	233	5742
39	247	5947
40	255	5977
41	260	5939
42	265	5909
43	273	5951
44	278	5920
45	286	5951
46	291	5915
47	296	5887
48	305	5924
49	384	7305
50	389	7251
51	394	7197
52	402	7189
53	407	7134
54	415	7132
55	421	7098
56	426	7048
57	433	7043
58	438	7000
59	447	7017
60	452	6968
61	457	6919
62	485	7223
63	496	7265
64	502	7222
65	509	7209
66	515	7174
67	520	7129
68	527	7119
69	532	7079
70	540	7073
71	545	7029
72	550	6988
73	558	6987
74	611	7543
75	616	7497
76	624	7481
77	629	7439
78	637	7429
79	642	7383
80	646	7339
81	654	7332
82	657	7261
83	662	7223
84	670	7214
85	675	7183
86	684	7178
87	689	7142
88	697	7138
89	702	7101
90	710	7098
91	715	7059
92	720	7024
93	728	7021
94	733	6985
95	740	6976
96	746	6945
97	750	6910
98	758	6906
99	784	7062
100	792	7054
101	797	7021
102	805	7015
103	810	6983
104	815	6951
105	823	6942
106	828	6913
107	836	6905
108	841	6875
109	846	6846
110	853	6837
111	861	6834
112	869	6828
113	874	6799
114	882	6793
115	887	6767
116	891	6727
117	899	6723
118	904	6697
119	997	7316
120	1002	7283
121	1006	7239
122	1013	7226
123	1117	7893
124	1122	7857
125	1127	7821
126	1131	7778
127	1139	7763
128	1144	7728
129	1149	7692
130	1157	7676
131	1162	7641
132	1169	7626
133	1175	7593
134	1180	7561
135	1186	7534
136	1187	7481
137	1194	7461
138	1218	7547
139	1227	7539
140	1234	7521
141	1237	7479
142	1242	7448
143	1250	7435
144	1255	7405
145	1263	7392
146	1268	7362
147	1274	7334
148	1279	7305
149	1310	7426
150	1315	7396
151	1322	7380
152	1328	7352
153	1333	7322
154	1340	7308
155	1345	7278
156	1353	7267
157	1358	7240
158	1363	7214
159	1371	7198
160	1374	7163
161	1379	7137
162	1391	7142
163	1396	7116
164	1401	7090
165	1406	7065
166	1413	7052
167	1419	7027
168	1432	7041
169	1437	7016
170	1445	7007
171	1450	6982
172	1458	6971
173	1463	6946
174	1524	7186
175	1529	7159
176	1534	7134
177	1542	7125
178	1549	7107
179	1557	7093
180	1562	7071
181	1570	7060
182	1575	7034
183	1580	7009
184	1588	6997
185	1593	6973
186	1610	7001
187	1618	6990
188	1623	6965
189	1628	6941
190	1636	6931
191	1641	6907
192	1649	6895
193	1654	6872
194	1658	6847
195	1666	6837
196	1671	6814
197	1680	6805
198	1685	6782
199	1692	6771
200	1721	6844
201	1726	6821
202	1731	6799
203	1739	6787
204	1744	6765
205	1752	6756
206	1757	6734
207	1763	6713
208	1771	6703
209	1776	6681
210	1784	6671
211	1815	6747
212	1820	6726
213	1825	6704
214	1832	6691
215	1838	6671
216	1846	6661
217	1851	6640
218	1856	6619
219	1864	6609
220	1868	6587
221	1876	6577
222	1881	6557
223	1980	6862
224	1985	6838
225	1994	6829
226	1998	6806
227	2003	6783
228	2008	6762
229	2013	6742
230	2021	6728
231	2026	6707
232	2030	6685
233	2035	6663
234	2040	6642
235	2131	6900
236	2135	6876
237	2140	6853
238	2148	6842
239	2153	6820
240	2161	6806
241	2166	6785
242	2171	6763
243	2179	6752
244	2184	6730
245	2191	6718
246	2197	6698
247	2202	6677
248	2219	6692
249	2226	6680
250	2232	6660
251	2239	6647
252	2244	6627
253	2249	6606
254	2256	6593
255	2262	6574
256	2269	6562
257	2274	6542
258	2279	6522
259	2287	6511
260	2342	6632
261	2350	6620
262	2407	6745
263	2415	6733
264	2419	6712
265	2424	6691
266	2434	6682
267	2441	6669
268	2446	6648
269	2451	6628
270	2459	6616
271	2464	6595
272	2475	6593
273	2480	6573
274	2485	6553
275	2490	6533
276	2495	6514
277	2503	6502
278	2508	6482
279	2513	6463
280	2521	6451
281	2526	6433
282	2534	6421
283	2541	6407
284	2549	6396
285	2569	6414
286	2574	6395
287	2581	6382
288	2587	6364
289	2592	6346
290	2599	6334
291	2604	6315
292	2612	6304
293	2628	6312
294	2634	6294
295	2638	6275
296	2649	6272
297	2669	6289
298	2677	6277
299	2682	6259
300	2690	6248
301	2695	6229
302	2700	6211
303	2708	6200
304	2712	6181
305	2720	6170
306	2725	6152
307	2730	6134
308	2738	6124
309	2755	6132
310	2760	6115
311	2768	6104
312	2773	6087
313	2778	6070
314	2786	6059
315	2792	6043
316	2800	6033
317	2805	6016
318	2809	5998
319	2817	5986
320	2822	5970
321	2832	5963
322	2839	5950
323	2865	5979
324	2870	5962
325	2879	5952
326	2883	5935
327	2888	5918
328	2894	5902
329	2899	5886
330	2907	5876
331	2912	5860
332	2921	5850
333	2925	5834
334	2931	5819
335	2939	5809
336	2944	5793
337	2952	5782
338	2957	5767
339	2962	5751
340	2970	5741
341	2975	5725
342	2983	5714
343	2987	5697
344	2992	5681
345	2997	5666
346	2999	5644
347	3004	5629
348	3012	5619
349	3017	5603
350	3039	5619
351	3046	5609
352	3052	5594
353	3060	5584
354	3064	5568
355	3070	5553
356	3078	5544
357	3083	5529
358	3110	5553
359	3116	5540
360	3124	5531
361	3128	5513
362	3149	5526
363	3157	5517
364	3162	5501
365	3170	5492
366	3175	5477
367	3180	5462
368	3188	5452
369	3193	5437
370	3218	5456
371	3223	5441
372	3228	5427
373	3236	5416
374	3241	5402
375	3249	5393
376	3254	5378
377	3259	5363
378	3265	5350
379	3270	5336
380	3278	5325
381	3282	5310
382	3312	5337
383	3370	5406
384	3377	5395
385	3384	5383
386	3392	5373
387	3397	5358
388	3404	5348
389	3410	5333
390	3419	5326
391	3424	5311
392	3429	5297
393	3437	5287
394	3442	5272
395	3467	5288
396	3472	5273
397	3477	5259
398	3485	5250
399	3490	5235
400	3498	5225
401	3503	5211
402	3508	5197
403	3516	5188
404	3522	5175
405	3531	5166
406	3535	5151
407	3551	5152
408	3556	5138
409	3564	5129
410	3569	5115
411	3578	5106
412	3583	5092
413	3588	5078
414	3593	5065
415	3598	5051
416	3606	5041
417	3611	5028
418	3616	5014
419	3749	5178
420	3754	5164
421	3760	5150
422	3768	5140
423	3773	5126
424	3781	5116
425	3787	5103
426	3795	5092
427	3799	5078
428	3805	5064
429	3813	5054
430	3817	5040
431	3825	5029
432	3854	5047
433	3859	5033
434	3864	5019
435	3874	5011
436	3880	4999
437	3889	4991
438	3895	4977
439	3902	4967
440	3907	4953
441	3912	4939
442	3921	4930
443	3926	4917
444	3954	4931
445	3961	4920
446	3969	4910
447	3974	4897
448	3982	4886
449	3987	4873
450	3992	4859
